iter	Passed	Remaining
0	238	47532
1	318	31567
2	401	26383
3	487	23886
4	632	24655
5	728	23543
6	815	22486
7	892	21431
8	960	20383
9	1032	19621
10	1117	19207
11	1216	19057
12	1306	18791
13	1403	18652
14	1492	18409
15	1612	18542
16	1715	18472
17	1820	18404
18	1930	18391
19	2041	18375
20	2170	18497
21	2295	18569
22	2416	18595
23	2527	18538
24	2665	18659
25	2802	18757
26	2962	18983
27	3127	19214
28	3261	19231
29	3390	19214
30	3513	19155
31	3622	19019
32	3752	18991
33	3874	18915
34	3999	18854
35	4145	18883
36	4299	18941
37	4449	18967
38	4571	18871
39	4697	18788
40	4832	18740
41	4960	18660
42	5094	18600
43	5221	18512
44	5328	18355
45	5426	18168
46	5529	18001
47	5624	17812
48	5753	17730
49	5867	17603
50	5995	17516
51	6153	17513
52	6288	17442
53	6399	17303
54	6530	17217
55	6659	17124
56	6805	17074
57	6936	16981
58	7160	17112
59	7286	17002
60	7391	16843
61	7507	16710
62	7619	16570
63	7736	16439
64	7840	16284
65	7940	16121
66	8071	16022
67	8214	15945
68	8335	15826
69	8455	15703
70	8582	15593
71	8687	15444
72	8795	15302
73	8909	15170
74	9067	15111
75	9216	15037
76	9345	14927
77	9513	14880
78	9629	14748
79	9744	14617
80	9870	14500
81	9987	14372
82	10110	14252
83	10255	14161
84	10464	14157
85	10616	14072
86	10790	14015
87	10962	13951
88	11197	13965
89	11319	13834
90	11447	13712
91	11558	13568
92	11670	13427
93	11795	13301
94	11915	13169
95	12036	13039
96	12160	12912
97	12272	12773
98	12387	12637
99	12503	12503
100	12618	12368
101	12755	12255
102	12897	12146
103	13030	12028
104	13161	11907
105	13295	11790
106	13421	11665
107	13528	11524
108	13629	11378
109	13734	11237
110	13843	11099
111	13966	10973
112	14084	10843
113	14222	10729
114	14351	10607
115	14479	10484
116	14599	10357
117	14727	10234
118	14847	10106
119	14954	9969
120	15069	9839
121	15185	9708
122	15283	9567
123	15383	9428
124	15480	9288
125	15570	9144
126	15674	9009
127	15776	8874
128	15879	8739
129	15986	8607
130	16099	8479
131	16213	8352
132	16328	8225
133	16447	8101
134	16571	7978
135	16686	7852
136	16795	7723
137	16910	7597
138	17036	7476
139	17142	7346
140	17247	7216
141	17345	7084
142	17437	6950
143	17538	6820
144	17640	6691
145	17744	6563
146	17852	6436
147	17966	6312
148	18090	6192
149	18212	6070
150	18328	5947
151	18433	5821
152	18542	5696
153	18652	5571
154	18767	5448
155	18882	5325
156	19000	5203
157	19104	5078
158	19200	4950
159	19294	4823
160	19389	4696
161	19485	4570
162	19581	4444
163	19685	4321
164	19783	4196
165	19881	4072
166	19978	3947
167	20085	3825
168	20202	3705
169	20317	3585
170	20438	3466
171	20558	3346
172	20678	3227
173	20803	3108
174	20917	2988
175	21038	2868
176	21140	2747
177	21241	2625
178	21348	2504
179	21454	2383
180	21554	2262
181	21663	2142
182	21772	2022
183	21880	1902
184	21980	1782
185	22089	1662
186	22204	1543
187	22313	1424
188	22431	1305
189	22550	1186
190	22671	1068
191	22798	949
192	22931	831
193	23051	712
194	23212	595
195	23408	477
196	23619	359
197	23790	240
198	23983	120
199	24164	0
