iter	Logloss
0	0.69042615
1	0.6877325743
2	0.6851189208
3	0.6825620508
4	0.6801286394
5	0.6777743936
6	0.675346524
7	0.672995281
8	0.6707521729
9	0.6685996666
10	0.6664606561
11	0.6643195055
12	0.6622748705
13	0.6602091532
14	0.6582484128
15	0.6563474505
16	0.654437221
17	0.6525979934
18	0.6507435731
19	0.6490147283
20	0.6472785203
21	0.6455878251
22	0.6438902154
23	0.6422843797
24	0.6406400322
25	0.6390471025
26	0.6375416883
27	0.6360444215
28	0.6345805211
29	0.6330973348
30	0.6316980695
31	0.6303428351
32	0.6290113368
33	0.6276798854
34	0.6264089268
35	0.6251579839
36	0.623923163
37	0.6227242936
38	0.6215418578
39	0.6203598371
40	0.6192395809
41	0.6181306885
42	0.6170649264
43	0.6160251541
44	0.6150072275
45	0.614007265
46	0.612978422
47	0.611958156
48	0.6110439814
49	0.6100926316
50	0.6091880401
51	0.6082522448
52	0.6073880368
53	0.6065415818
54	0.6057096207
55	0.6048915237
56	0.604093475
57	0.6032949629
58	0.6025505485
59	0.6017534035
60	0.6010051127
61	0.6002374961
62	0.5995165351
63	0.5988278978
64	0.5981502329
65	0.5974798437
66	0.596841001
67	0.5961604145
68	0.5955384412
69	0.5949030616
70	0.59430396
71	0.5937166156
72	0.5931045927
73	0.5925504994
74	0.5919916963
75	0.5914559324
76	0.5909261992
77	0.5904115257
78	0.5899096644
79	0.5894071622
80	0.5889293566
81	0.5884558238
82	0.5879875942
83	0.5875251387
84	0.5870617875
85	0.586589541
86	0.5861481782
87	0.5857293271
88	0.5852996199
89	0.5848926174
90	0.5844823734
91	0.5840899495
92	0.5837036925
93	0.5833332304
94	0.5829678944
95	0.5825769727
96	0.5822179487
97	0.5818731146
98	0.5815400722
99	0.5812086515
100	0.5808882022
101	0.5805701761
102	0.5802317843
103	0.5799158366
104	0.5796140746
105	0.579317667
106	0.5790359088
107	0.5787523045
108	0.5784678672
109	0.5782046634
110	0.5779389232
111	0.5776735091
112	0.5774228559
113	0.5771812333
114	0.576938467
115	0.5766937225
116	0.5764527534
117	0.5762171545
118	0.5759918157
119	0.5757704185
120	0.5755595211
121	0.5753452816
122	0.5751305031
123	0.5749280357
124	0.5747248645
125	0.5744974246
126	0.5743032585
127	0.574089074
128	0.5739067298
129	0.5737288574
130	0.5735524179
131	0.5733776779
132	0.5732050517
133	0.5730369397
134	0.5728662784
135	0.5727073965
136	0.5725503798
137	0.5723973793
138	0.57224477
139	0.5720932279
140	0.5719511107
141	0.571811509
142	0.5716710333
143	0.5715256334
144	0.5713623119
145	0.5712293086
146	0.5710990422
147	0.5709684094
148	0.5708431863
149	0.5707190003
150	0.5705974896
151	0.5704820648
152	0.5703608325
153	0.5702422287
154	0.5701291221
155	0.5700127741
156	0.569901376
157	0.5697945954
158	0.5696928511
159	0.5695914105
160	0.5694699012
161	0.5693711055
162	0.5692766808
163	0.5691817526
164	0.5690865388
165	0.5689966645
166	0.5689036838
167	0.5688173751
168	0.5687321993
169	0.5686268109
