iter	Passed	Remaining
0	48	48450
1	100	50276
2	158	52590
3	220	54952
4	275	54875
5	376	62416
6	439	62297
7	506	62820
8	561	61832
9	614	60863
10	663	59619
11	719	59279
12	776	58920
13	860	60590
14	935	61411
15	1004	61767
16	1066	61641
17	1109	60541
18	1167	60264
19	1221	59832
20	1273	59369
21	1334	59318
22	1457	61925
23	1507	61296
24	1564	60998
25	1623	60831
26	1671	60227
27	1719	59696
28	1771	59320
29	1822	58935
30	1868	58393
31	1917	57992
32	1961	57487
33	2014	57243
34	2062	56856
35	2107	56443
36	2157	56156
37	2203	55783
38	2252	55498
39	2304	55297
40	2352	55017
41	2398	54715
42	2450	54540
43	2495	54231
44	2544	53991
45	2595	53828
46	2650	53748
47	2704	53648
48	2750	53387
49	2801	53233
50	2850	53048
51	2903	52935
52	2948	52674
53	2996	52486
54	3045	52324
55	3095	52181
56	3143	52004
57	3190	51820
58	3238	51650
59	3294	51610
60	3340	51424
61	3393	51333
62	3443	51222
63	3488	51022
64	3543	50973
65	3596	50894
66	3653	50878
67	3711	50867
68	3762	50768
69	3814	50683
70	3865	50577
71	3914	50457
72	3966	50372
73	4016	50258
74	4064	50124
75	4111	49987
76	4157	49841
77	4206	49723
78	4254	49599
79	4303	49487
80	4348	49338
81	4399	49251
82	4451	49180
83	4500	49078
84	4549	48976
85	4603	48926
86	4647	48773
87	4694	48656
88	4738	48505
89	4785	48390
90	4835	48300
91	4884	48205
92	4929	48080
93	4976	47960
94	5025	47872
95	5077	47814
96	5121	47680
97	5167	47561
98	5214	47455
99	5263	47368
100	5307	47241
101	5353	47128
102	5406	47081
103	5463	47067
104	5513	46999
105	5570	46982
106	5624	46940
107	5678	46902
108	5729	46832
109	5783	46793
110	5836	46743
111	5894	46734
112	5948	46692
113	6004	46670
114	6078	46776
115	6140	46794
116	6201	46803
117	6251	46729
118	6304	46673
119	6351	46578
120	6408	46556
121	6460	46492
122	6509	46410
123	6550	46279
124	6597	46184
125	6649	46127
126	6694	46015
127	6748	45972
128	6797	45898
129	6849	45837
130	6895	45742
131	6940	45640
132	6986	45541
133	7031	45442
134	7082	45382
135	7127	45281
136	7172	45181
137	7222	45113
138	7271	45040
139	7319	44962
140	7364	44867
141	7413	44795
142	7460	44712
143	7517	44687
144	7570	44639
145	7614	44537
146	7666	44485
147	7714	44413
148	7768	44371
149	7820	44317
150	7869	44247
151	7923	44202
152	7971	44127
153	8019	44056
154	8064	43965
155	8118	43925
156	8163	43834
157	8210	43754
158	8260	43690
159	8306	43611
160	8363	43585
161	8422	43567
162	8475	43523
163	8528	43475
164	8580	43421
165	8632	43369
166	8679	43296
167	8737	43272
168	8795	43251
169	8858	43251
170	8910	43198
171	8967	43168
172	9026	43147
173	9078	43096
174	9133	43059
175	9190	43026
176	9239	42962
177	9290	42901
178	9342	42851
179	9399	42819
180	9449	42759
181	9505	42722
182	9554	42655
183	9606	42602
184	9656	42540
185	9708	42485
186	9768	42470
187	9822	42423
188	9875	42373
189	9930	42335
190	9984	42291
191	10041	42257
192	10104	42249
193	10155	42193
194	10203	42122
195	10257	42074
196	10309	42022
197	10360	41963
198	10418	41936
199	10476	41904
200	10529	41857
201	10581	41801
202	10632	41745
203	10682	41683
204	10733	41625
205	10795	41609
206	10848	41560
207	10898	41498
208	10950	41445
209	11006	41405
210	11054	41338
211	11107	41287
212	11155	41217
213	11219	41209
214	11293	41233
215	11359	41229
216	11417	41198
217	11469	41142
218	11519	41082
219	11588	41085
220	11639	41028
221	11685	40952
222	11733	40883
223	11782	40818
224	11840	40783
225	11900	40756
226	11956	40715
227	12013	40676
228	12065	40623
229	12119	40574
230	12170	40516
231	12220	40452
232	12272	40398
233	12325	40348
234	12379	40298
235	12439	40270
236	12499	40242
237	12553	40190
238	12606	40138
239	12660	40091
240	12711	40034
241	12766	39986
242	12819	39935
243	12873	39887
244	12921	39818
245	12975	39769
246	13024	39705
247	13073	39641
248	13120	39573
249	13174	39524
250	13230	39481
251	13280	39419
252	13329	39356
253	13392	39333
254	13457	39317
255	13524	39306
256	13600	39318
257	13670	39316
258	13740	39310
259	13807	39298
260	13891	39332
261	13977	39371
262	14056	39390
263	14136	39410
264	14205	39401
265	14259	39347
266	14326	39331
267	14381	39280
268	14443	39248
269	14495	39191
270	14549	39139
271	14605	39090
272	14661	39042
273	14717	38997
274	14768	38935
275	14817	38869
276	14865	38800
277	14913	38733
278	14964	38670
279	15013	38605
280	15065	38548
281	15116	38487
282	15171	38436
283	15221	38375
284	15280	38335
285	15332	38278
286	15383	38217
287	15440	38172
288	15489	38108
289	15539	38044
290	15594	37995
291	15640	37923
292	15685	37848
293	15730	37774
294	15773	37695
295	15818	37621
296	15864	37552
297	15912	37485
298	15962	37424
299	16007	37351
300	16059	37293
301	16117	37252
302	16170	37196
303	16220	37137
304	16270	37074
305	16315	37003
306	16362	36935
307	16422	36897
308	16494	36886
309	16553	36845
310	16613	36806
311	16663	36744
312	16712	36681
313	16762	36621
314	16809	36554
315	16852	36479
316	16899	36410
317	16946	36343
318	16989	36270
319	17036	36202
320	17089	36149
321	17135	36081
322	17185	36020
323	17233	35956
324	17277	35883
325	17321	35812
326	17363	35736
327	17415	35681
328	17460	35611
329	17503	35538
330	17549	35469
331	17591	35395
332	17640	35333
333	17685	35264
334	17728	35193
335	17774	35126
336	17819	35057
337	17863	34986
338	17909	34921
339	17954	34852
340	17999	34784
341	18049	34725
342	18104	34678
343	18154	34620
344	18213	34579
345	18263	34520
346	18316	34469
347	18362	34404
348	18410	34341
349	18454	34273
350	18500	34207
351	18545	34141
352	18597	34086
353	18642	34020
354	18686	33951
355	18730	33883
356	18775	33816
357	18817	33746
358	18862	33679
359	18904	33608
360	18947	33539
361	18998	33484
362	19043	33418
363	19085	33347
364	19129	33280
365	19174	33214
366	19217	33147
367	19261	33079
368	19304	33010
369	19349	32945
370	19395	32884
371	19444	32825
372	19490	32762
373	19533	32695
374	19578	32631
375	19621	32563
376	19671	32508
377	19726	32459
378	19771	32395
379	19813	32326
